Day,Slope SD,Slope std dev SD,Slope 68% IC SD LOW,Slope 68% IC SD HIGH,Slope 95% IC SD LOW,Slope 95% IC SD HIGH,Slope 99.7% IC SD LOW,Slope 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,Intercept SD,Intercept std dev SD,Intercept 68% IC SD LOW,Intercept 68% IC SD HIGH,Intercept 95% IC SD LOW,Intercept 95% IC SD HIGH,Intercept 99.7% IC SD LOW,Intercept 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,R-value,P-value
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.170008355713479e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.170008355713479e-21,0.0,1.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.615222421432276e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.615222421432276e-06,0.0,0.0,1.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.170008355713479e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.170008355713479e-21,0.0,1.0
34,6.867720964113285e-09,9.592218951984902e-10,5.908499068914794e-09,7.826942859311774e-09,4.987646049524244e-09,8.747795878702325e-09,4.229860752317437e-09,9.505581175909134e-09,-5.390032568999584e-05,0.0,-0.0004008527156510356,9.592218951984902e-10,-0.0004008536748729308,-0.0004008517564291404,-0.0004008545957259502,-0.000400850835576121,-0.0004008553535112474,-0.0004008500777908238,-5.390032568999584e-05,0.0,0.1275616973378813,1.0054427281502442e-12
35,-4.873130029468661e-09,1.3651348047867127e-09,-6.238264834255373e-09,-3.5079952246819482e-09,-7.548794246850617e-09,-2.197465812086704e-09,-8.627250742632122e-09,-1.119009316305201e-09,-0.0001181292161050453,1.8847115935648185e-05,0.0005132529302434198,1.3651348047867127e-09,0.000513251565108615,0.0005132542953782246,0.0005132502545792024,0.0005132556059076372,0.0005132491761227066,0.000513256684364133,-0.0001181292161050453,1.8847115935648185e-05,-0.06399272640705811,0.00036280728765100494
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87333690987307e-05,8.646170353260322e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87333690987307e-05,8.646170353260322e-06,0.0,1.0
37,-1.9945909346446204e-09,9.664587388688381e-10,-2.9610496735134585e-09,-1.0281321957757823e-09,-3.888850062827543e-09,-1.0033180646169792e-10,-4.652352466533925e-09,6.631705972446842e-10,1.87333690987307e-05,5.83281105697574e-05,-0.00011240021459238452,9.664587388688381e-10,-0.00011240118105112339,-0.00011239924813364565,-0.00011240210885151271,-0.00011239832033325633,-0.00011240287235391641,-0.00011239755683085263,1.87333690987307e-05,5.83281105697574e-05,-0.03704772026230243,0.039118439592762594
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.421010862427522e-20,-2.5020050134280873e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.421010862427522e-20,-2.5020050134280873e-20,0.0,1.0
39,3.490123724884892e-08,4.98538966719522e-09,2.9915847581653696e-08,3.988662691604414e-08,2.5129873501146285e-08,4.467260099655155e-08,2.1191415664062062e-08,4.8611058833635774e-08,-5.421010862427522e-20,-2.5916411175841523e-06,-0.001418568502183176,4.98538966719522e-09,-0.0014185734875728432,-0.0014185635167935087,-0.0014185782735469236,-0.0014185587308194283,-0.0014185822120047608,-0.001418554792361591,-5.421010862427522e-20,-2.5916411175841523e-06,0.1247738776462452,3.1091908944016898e-12
40,2.7348732947751143e-08,4.296550318877223e-09,2.305218262887392e-08,3.164528326662837e-08,1.8927494322751786e-08,3.57699715727505e-08,1.553321957083878e-08,3.9164246324663505e-08,-0.00023642808369719607,-0.0001091206540140905,-0.0009455923151361842,4.296550318877223e-09,-0.000945596611686503,-0.0009455880185858653,-0.0009456007363748092,-0.0009455838938975591,-0.0009456041306495611,-0.0009455804996228072,-0.00023642808369719607,-0.0001091206540140905,0.11360198128763686,2.2371976777933186e-10
41,9.474740378370053e-09,4.8326171873461224e-09,4.6421231910239305e-09,1.4307357565716175e-08,2.81069117165283e-12,1.8946670065568455e-08,-3.8149568868317835e-09,2.276443764357189e-08,-0.0003272180169447208,-0.00020673559780456428,0.0006144745233267117,4.8326171873461224e-09,0.0006144696907095243,0.000614479355943899,0.0006144650513970245,0.0006144839952563989,0.0006144612336294465,0.0006144878130239769,-0.0003272180169447208,-0.00020673559780456428,0.0351969443958531,0.05001730413508611
