Day,Slope SD,Slope std dev SD,Slope 68% IC SD LOW,Slope 68% IC SD HIGH,Slope 95% IC SD LOW,Slope 95% IC SD HIGH,Slope 99.7% IC SD LOW,Slope 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,Intercept SD,Intercept std dev SD,Intercept 68% IC SD LOW,Intercept 68% IC SD HIGH,Intercept 95% IC SD LOW,Intercept 95% IC SD HIGH,Intercept 99.7% IC SD LOW,Intercept 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,R-value,P-value
326,0.05418146373877102,0.0037752921378212665,0.050406171600949755,0.05795675587659229,0.04678189114864134,0.061581036328900704,0.043799410359762536,0.06456351711777951,-0.26409865585295206,-0.2536720384189378,-0.2056890308017365,0.0037752921378212665,-0.20946432293955777,-0.20191373866391524,-0.2130886033918662,-0.19828945821160682,-0.216071084180745,-0.195306977422728,-0.26409865585295206,-0.2536720384189378,0.2496413498240117,2.8510414235515125e-45
327,0.035424182267840304,0.0026110388569316346,0.03281314341090867,0.03803522112477194,0.0303065461082543,0.04054181842742631,0.02824382541127831,0.0426045391244023,-0.27468433725318786,-0.2626086886169573,-0.13860176323740292,0.0026110388569316346,-0.14121280209433457,-0.13599072438047127,-0.1437193993969889,-0.13348412707781693,-0.1457821200939649,-0.13142140638084093,-0.27468433725318786,-0.2626086886169573,0.2367809225025403,8.958640922476749e-41
328,0.05237729467256104,0.003385348592503333,0.048991946080057705,0.055762643265064374,0.0457420114312545,0.059012577913867575,0.04306758604317687,0.06168700330194521,-0.26630381793076535,-0.2597859829136673,-0.20608084350654374,0.003385348592503333,-0.20946619209904707,-0.2026954949140404,-0.21271612674785026,-0.19944556026523722,-0.2153905521359279,-0.19677113487715958,-0.26630381793076535,-0.2597859829136673,0.267776270621786,4.537659287994463e-52
329,0.12653266428871807,0.004942353125331457,0.12159031116338662,0.13147501741404952,0.11684565216306841,0.13621967641436772,0.11294119319405656,0.14012413538337956,-0.2290978025634264,-0.24524458685953357,-0.49539693130840107,0.004942353125331457,-0.5003392844337325,-0.4904545781830696,-0.5050839434340507,-0.4857099191827514,-0.5089884024030625,-0.48180546021373954,-0.2290978025634264,-0.24524458685953357,0.4178263988984639,2.651118815352104e-131
330,0.11020642051952609,0.0050695401428340605,0.10513688037669203,0.11527596066236015,0.10027012183957133,0.12014271919948084,0.09626518512673242,0.12414765591231976,-0.2540133118771974,-0.2620817482575991,-0.42847405889286716,0.0050695401428340605,-0.4335435990357012,-0.4234045187500331,-0.43841035757282193,-0.4185377602129124,-0.44241529428566084,-0.4145328235000735,-0.2540133118771974,-0.2620817482575991,0.3637542295552219,1.2161055514467572e-97
331,0.07404964612862257,0.0042278908391839036,0.06982175528943867,0.07827753696780647,0.06576298008382211,0.08233631217342302,0.06242294632086683,0.0856763459363783,-0.2824340748114232,-0.2694336837049235,-0.28417870690888514,0.0042278908391839036,-0.28840659774806904,-0.27995081606970124,-0.2924653729536856,-0.2758920408640847,-0.29580540671664085,-0.2725520071011294,-0.2824340748114232,-0.2694336837049235,0.30011811802587945,1.4448243129130055e-65
332,0.05988129508491432,0.003701749305766937,0.05617954577914738,0.06358304439068126,0.052625866445611125,0.06713672372421751,0.049701484494055245,0.0700611056757734,-0.2930702224426394,-0.2753594019322392,-0.2312156489429563,0.003701749305766937,-0.23491739824872324,-0.22751389963718935,-0.2384710775822595,-0.2239602203036531,-0.24139545953381536,-0.22103583835209722,-0.2930702224426394,-0.2753594019322392,0.2790427123027753,1.4394215348733618e-56
333,0.0653351970823421,0.0038569201826654173,0.061478276899676686,0.06919211726500751,0.05777563352431789,0.07289476064036632,0.05472866658001221,0.075941727584672,-0.29732465879950937,-0.2749406860551158,-0.2527708342440227,0.0038569201826654173,-0.2566277544266881,-0.24891391406135727,-0.2603303978020469,-0.24521127068599846,-0.2633773647463526,-0.2421643037416928,-0.29732465879950937,-0.2749406860551158,0.29111594432137716,1.2521605997921995e-61
334,0.03413971636777263,0.002712704990982801,0.03142701137678983,0.03685242135875543,0.028822814585446343,0.03945661815009892,0.02667977764256993,0.041599655092975335,-0.31635283730061264,-0.2834480623507851,-0.13228486179593918,0.002712704990982801,-0.13499756678692199,-0.12957215680495637,-0.13760176357826548,-0.12696796001361288,-0.13974480052114188,-0.12482492307073648,-0.31635283730061264,-0.2834480623507851,0.22050720310169172,1.850543618498706e-35
335,0.04960633313963,0.0032805210047254737,0.046325812134904526,0.05288685414435547,0.04317651197036807,0.056036154308891924,0.040584900376634946,0.05862776590262505,-0.3040535070155119,-0.27909421486032365,-0.19660063028153762,0.0032805210047254737,-0.1998811512862631,-0.19332010927681215,-0.20303045145079957,-0.19017080911227568,-0.20562206304453268,-0.18757919751854257,-0.3040535070155119,-0.27909421486032365,0.26213492329015065,6.754548233747169e-50
