Day,Slope FD,Slope std dev FD,Slope 68% IC FD LOW,Slope 68% IC FD HIGH,Slope 95% IC FD LOW,Slope 95% IC FD HIGH,Slope 99.7% IC FD LOW,Slope 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,Intercept FD,Intercept std dev FD,Intercept 68% IC FD LOW,Intercept 68% IC FD HIGH,Intercept 95% IC FD LOW,Intercept 95% IC FD HIGH,Intercept 99.7% IC FD LOW,Intercept 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,R-value,P-value
735,8.928256348309256e-07,1.2156482183353124e-07,7.712608129973944e-07,1.0143904566644568e-06,6.545585840372044e-07,1.1310926856246469e-06,5.585223747887147e-07,1.2271288948731365e-06,10.197769161066446,10.815322943714365,12.385103812331646,1.2156482183353124e-07,12.385103690766824,12.385103933896469,12.385103574064596,12.385104050598697,12.385103478028386,12.385104146634907,10.197769161066446,10.815322943714365,0.40311448923947124,2.2974016129116027e-12
736,9.111640119002909e-07,1.4512363083162391e-07,7.660403810686671e-07,1.0562876427319148e-06,6.267216954703081e-07,1.195606328330274e-06,5.120740271133252e-07,1.3102539966872567e-06,10.175877201420235,10.707953195401851,12.692000180878662,1.4512363083162391e-07,12.692000035755031,12.692000326002292,12.691999896436345,12.692000465320978,12.691999781788677,12.692000579968646,10.175877201420235,10.707953195401851,0.3524043536264567,1.3098322678841485e-09
737,8.168660104965516e-07,1.0292155500355573e-07,7.139444554929959e-07,9.197875655001073e-07,6.151397626895823e-07,1.0185922583035209e-06,5.338317342367733e-07,1.09990028675633e-06,10.558524748402766,10.804491830463578,13.88063989250232,1.0292155500355573e-07,13.880639789580764,13.880639995423875,13.880639690776071,13.880640094228568,13.880639609468043,13.880640175536596,10.558524748402766,10.804491830463578,0.4298055915078092,5.1327634516584924e-14
738,1.1625932574475975e-06,1.5457980524817777e-07,1.0080134521994197e-06,1.3171730626957753e-06,8.596168391611691e-07,1.4655696757340258e-06,7.374987930151086e-07,1.5876877218800864e-06,10.763424909252963,10.978377670580395,11.466051839736274,1.5457980524817777e-07,11.466051685156469,11.466051994316079,11.466051536759855,11.466052142712693,11.466051414641809,11.466052264830738,10.763424909252963,10.978377670580395,0.4111824756051767,7.543246906540391e-13
739,7.913372312850503e-07,5.780744490366841e-08,7.335297863813819e-07,8.491446761887187e-07,6.780346392738602e-07,9.046398232962404e-07,6.323667577999621e-07,9.503077047701385e-07,11.467572100117161,11.027599349778484,5.989775196446775,5.780744490366841e-08,5.98977513863933,5.98977525425422,5.989775083144183,5.989775309749367,5.989775037476302,5.989775355417248,11.467572100117161,11.027599349778484,0.6345523276271804,5.887461848489281e-33
740,6.835376542421655e-07,3.224116724359995e-08,6.512964869985655e-07,7.157788214857654e-07,6.203449664447095e-07,7.467303420396214e-07,5.948744443222656e-07,7.722008641620653e-07,11.392467770803735,11.054948243708841,0.6500948567682698,3.224116724359995e-08,0.6500948245271025,0.6500948890094371,0.6500947935755821,0.6500949199609576,0.65009476810506,0.6500949454314797,11.392467770803735,11.054948243708841,0.7860375982389723,5.162144845556656e-60
741,1.102524393022297e-06,9.613940287566028e-08,1.0063849901466366e-06,1.1986637958979573e-06,9.140911633860029e-07,1.2909576226585912e-06,8.381410351142312e-07,1.3669077509303627e-06,9.51061096311066,10.116580503603675,6.290730161036002,9.613940287566028e-08,6.290730064896599,6.290730257175405,6.290729972602772,6.290730349469232,6.290729896652644,6.29073042541936,9.51061096311066,10.116580503603675,0.5666986200093939,3.4654098165749753e-25
742,1.5553015644219648e-06,1.233030640210152e-07,1.4319985004009497e-06,1.67860462844298e-06,1.3136275589407752e-06,1.7969755699031545e-06,1.216218138364173e-06,1.8943849904797567e-06,8.494882021228051,9.580077762007587,1.6368559559444478,1.233030640210152e-07,1.6368558326413838,1.6368560792475118,1.6368557142704423,1.6368561976184532,1.6368556168610218,1.6368562950278738,8.494882021228051,9.580077762007587,0.6033207749235552,3.777741051783888e-29
743,1.159052706328191e-06,1.359775822378262e-07,1.0230751240903648e-06,1.2950302885660171e-06,8.925366451420516e-07,1.4255687675143303e-06,7.851143551741689e-07,1.532991057482213e-06,6.652357983739015,8.743185483987244,10.036820039747695,1.359775822378262e-07,10.036819903770112,10.036820175725278,10.036819773231635,10.036820306263756,10.036819665809345,10.036820413686046,6.652357983739015,8.743185483987244,0.45519261416289936,9.984081584283734e-16
744,1.0910340277418125e-06,9.879976257246729e-08,9.922342651693453e-07,1.1898337903142797e-06,8.973864930997766e-07,1.2846815623838484e-06,8.193346806675275e-07,1.3627333748160974e-06,6.011721341613243,8.715547417892182,10.970265939718129,9.879976257246729e-08,10.970265840918366,10.970266038517892,10.970265746070593,10.970266133365664,10.970265668018781,10.970266211417476,6.011721341613243,8.715547417892182,0.5521818638103402,9.50895994675186e-24
